order,bondID,date,cashflow
1,bond1,2016-03-03,2.5
2,bond1,2016-09-03,2.5
3,bond1,2017-03-03,2.5
4,bond1,2017-09-03,102.5
1,bond2,2016-12-05,1.55
2,bond2,2017-03-05,1.55
3,bond2,2017-06-05,1.55
4,bond2,2017-09-05,1.55
5,bond2,2017-12-05,1.55
6,bond2,2018-03-05,1.55
7,bond2,2018-06-05,1.55
8,bond2,2018-09-05,1.55
9,bond2,2018-12-05,1.55
10,bond2,2019-03-05,1.55
11,bond2,2019-06-05,1.55
12,bond2,2019-09-05,101.55
1,bond3,2017-08-03,7.0
2,bond3,2018-08-03,7.0
3,bond3,2019-08-03,7.0
4,bond3,2020-08-03,7.0
5,bond3,2021-08-03,7.0
6,bond3,2022-08-03,7.0
7,bond3,2023-08-03,7.0
8,bond3,2024-08-03,7.0
9,bond3,2025-08-03,7.0
10,bond3,2026-08-03,107.0
